time,location,new_id
15:46,checkout,1.8
15:46,dairy,4.8
15:46,drinks,1.0
15:46,fruit,2.0
15:46,spices,1.8
15:47,checkout,1.4
15:47,dairy,4.4
15:47,drinks,2.0
15:47,fruit,3.2
15:47,spices,0.6
15:48,checkout,2.0
15:48,dairy,3.4
15:48,drinks,1.4
15:48,fruit,2.8
15:48,spices,0.6
15:49,checkout,1.0
15:49,dairy,3.8
15:49,drinks,1.0
15:49,fruit,3.2
15:49,spices,0.6
15:50,checkout,1.4
15:50,dairy,3.6
15:50,drinks,1.4
15:50,fruit,2.6
15:50,spices,0.6
15:51,checkout,1.2
15:51,dairy,2.8
15:51,drinks,1.2
15:51,fruit,2.6
15:51,spices,0.8
15:52,checkout,1.8
15:52,dairy,2.2
15:52,drinks,1.4
15:52,fruit,1.8
15:52,spices,0.8
15:53,checkout,1.0
15:53,dairy,2.0
15:53,drinks,0.6
15:53,fruit,1.8
15:53,spices,1.2
15:54,checkout,1.4
15:54,dairy,2.8
15:54,drinks,0.6
15:54,fruit,2.0
15:54,spices,0.8
15:55,checkout,1.2
15:55,dairy,2.8
15:55,drinks,0.8
15:55,fruit,2.2
15:55,spices,1.0
15:56,checkout,1.2
15:56,dairy,3.0
15:56,drinks,1.0
15:56,fruit,2.0
15:56,spices,0.6
15:57,checkout,1.0
15:57,dairy,2.6
15:57,drinks,1.6
15:57,fruit,1.8
15:57,spices,1.0
15:58,checkout,1.6
15:58,dairy,1.8
15:58,drinks,2.4
15:58,fruit,1.6
15:58,spices,0.8
15:59,checkout,1.0
15:59,dairy,1.8
15:59,drinks,1.8
15:59,fruit,1.6
15:59,spices,1.4
16:00,checkout,1.6
16:00,dairy,3.2
16:00,drinks,1.8
16:00,fruit,1.8
16:00,spices,0.6
16:01,checkout,0.8
16:01,dairy,3.2
16:01,drinks,2.2
16:01,fruit,2.4
16:01,spices,1.0
16:02,checkout,0.4
16:02,dairy,2.8
16:02,drinks,2.2
16:02,fruit,3.2
16:02,spices,1.4
16:03,checkout,1.2
16:03,dairy,3.6
16:03,drinks,2.2
16:03,fruit,3.0
16:03,spices,1.8
16:04,checkout,1.6
16:04,dairy,4.6
16:04,drinks,2.2
16:04,fruit,3.2
16:04,spices,1.4
16:05,checkout,1.4
16:05,dairy,4.4
16:05,drinks,2.4
16:05,fruit,3.6
16:05,spices,0.6
16:06,checkout,1.8
16:06,dairy,3.8
16:06,drinks,2.0
16:06,fruit,3.4
16:06,spices,1.4
16:07,checkout,2.6
16:07,dairy,3.4
16:07,drinks,1.4
16:07,fruit,2.8
16:07,spices,1.0
16:08,checkout,1.0
16:08,dairy,4.2
16:08,drinks,0.6
16:08,fruit,2.0
16:08,spices,1.2
16:09,checkout,1.6
16:09,dairy,4.2
16:09,drinks,1.0
16:09,fruit,1.4
16:09,spices,1.0
16:10,checkout,1.6
16:10,dairy,3.8
16:10,drinks,1.8
16:10,fruit,1.4
16:10,spices,1.8
16:11,checkout,1.0
16:11,dairy,4.0
16:11,drinks,2.2
16:11,fruit,2.0
16:11,spices,0.8
16:12,checkout,1.6
16:12,dairy,4.4
16:12,drinks,1.6
16:12,fruit,2.4
16:12,spices,1.0
16:13,checkout,2.0
16:13,dairy,3.4
16:13,drinks,1.6
16:13,fruit,2.6
16:13,spices,1.6
16:14,checkout,2.8
16:14,dairy,3.2
16:14,drinks,1.6
16:14,fruit,2.0
16:14,spices,0.8
16:15,checkout,0.4
16:15,dairy,3.4
16:15,drinks,1.4
16:15,fruit,3.8
16:15,spices,1.2
16:16,checkout,1.4
16:16,dairy,5.0
16:16,drinks,1.6
16:16,fruit,3.2
16:16,spices,0.6
16:17,checkout,2.2
16:17,dairy,6.6
16:17,drinks,1.4
16:17,fruit,2.8
16:17,spices,1.0
16:18,checkout,1.8
16:18,dairy,5.2
16:18,drinks,2.0
16:18,fruit,2.0
16:18,spices,1.2
16:19,checkout,1.6
16:19,dairy,4.2
16:19,drinks,2.4
16:19,fruit,2.6
16:19,spices,1.6
16:20,checkout,1.6
16:20,dairy,3.2
16:20,drinks,2.4
16:20,fruit,3.0
16:20,spices,1.8
16:21,checkout,2.6
16:21,dairy,3.6
16:21,drinks,1.6
16:21,fruit,1.8
16:21,spices,1.2
16:22,checkout,1.2
16:22,dairy,3.4
16:22,drinks,1.8
16:22,fruit,1.8
16:22,spices,1.2
16:23,checkout,1.4
16:23,dairy,3.8
16:23,drinks,2.2
16:23,fruit,1.8
16:23,spices,1.2
16:24,checkout,1.2
16:24,dairy,3.2
16:24,drinks,2.2
16:24,fruit,2.8
16:24,spices,1.6
16:25,checkout,1.8
16:25,dairy,3.4
16:25,drinks,2.2
16:25,fruit,3.0
16:25,spices,1.0
16:26,checkout,1.2
16:26,dairy,3.6
16:26,drinks,2.4
16:26,fruit,3.2
16:26,spices,0.6
16:27,checkout,1.8
16:27,dairy,3.0
16:27,drinks,2.4
16:27,fruit,3.0
16:27,spices,0.8
16:28,checkout,1.4
16:28,dairy,2.4
16:28,drinks,3.4
16:28,fruit,2.2
16:28,spices,0.6
16:29,checkout,1.4
